filename,class,split
train/acetaminophen/acetaminophen_9a32bc6d-0499-48fa-a6ad-702c8a28bf5f_0032.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5efd6c61-74ed-4253-896a-e4a40bd8f25b_0013.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e19b561c-fb76-4355-a306-d3dc46930bf2_0040.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_05fda811-d65f-41b2-89e4-297cdddb3d99_0067.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_d0dd4a75-da65-4c66-b65f-54ee14100846_0098.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f7958347-4e9c-4698-8749-7ca7023ee2ba_0046.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_5278a128-41ec-4494-e054-00144ff8d46c_0086.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_6cb1d08b-e544-4084-b9ed-1e0d99a709c8_0058.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_157fd0d2-aa54-406c-bcdb-dad531de3ce7_0107.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_729132cd-f209-447a-8949-a90b5a5c01da_0092.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_853012b8-d3b7-78d3-e053-2a91aa0ab0f2_0095.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_36ad34f4-4e66-f371-e063-6394a90ae76a_0012.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_333e170e-52cd-4218-8d15-0bf3c5c75cb9_0052.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_0f0cc40d-7939-4d4d-a931-b4de4070fea1_0051.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_e27b6637-ef32-44b5-a531-b6617d02fbbf_0041.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_1d9fa7ec-a509-28b2-e063-6294a90a7831_0072.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_2c431220-c61b-4ad5-9ad2-58ccaee2d1c3_0008.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f01ab8ef-d29a-4e33-8a14-4c57ccdcc0d6_0044.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_157fd0d2-aa54-406c-bcdb-dad531de3ce7_0106.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_157fd0d2-aa54-406c-bcdb-dad531de3ce7_0105.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_91063edd-1e7e-41e9-8412-b14ef3749018_0059.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_932a3d40-9b52-4e91-bc61-6fd506f2d9e6_0060.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_f9b8dbe1-7ff9-4320-850c-6e86e98d4393_0047.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_27820bce-6638-4f17-ac66-62b02b76bec3_0007.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_7f0f8b3c-c226-4a3a-af46-a708f345e4f5_0023.jpg,acetaminophen,train
train/acetaminophen/acetaminophen_42a17f54-7851-84fb-e063-6394a90a9ec1_0075.jpg,acetaminophen,train
